SEX,YEAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
M,2023,7190,4168,4000,3857,3800,3732,3772,3720,3730,3731,3605,3607,3576,3534,3707,4227,5007,6125,6208,6746,6980,7074,6827,7378,7679,8008,8248,8049,7759,7577,7224,6577,5605,4760,4276,3639,2361,1237,272,-707,-1159,-1456,-1189,-966,-318,-190,-554,-1149,-1893,-2355,-2753,-2914,-2849,-2535,-1859,-1476,-1067,-890,-761,-667,-825,-727,-961,-1225,-1144,-1380,-1312,-1097,-834,-878,-755,-529,-578,-544,-543,-479,-633,-500,-599,-708,-761,-752,-979,-990,-980,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398,-398
M,2024,7229,6059,3919,3866,3830,3800,3835,3757,3797,3760,3659,3561,3580,3619,3768,4333,5154,6153,6493,6947,7385,7550,7418,7433,7876,8324,8301,8385,8205,7913,7713,7022,6080,5235,4318,3840,2631,1518,428,-388,-838,-1304,-1111,-739,-528,-240,-509,-1197,-1831,-2458,-2649,-2804,-2749,-2557,-2141,-1533,-1174,-873,-758,-691,-761,-974,-943,-1208,-1437,-1372,-1435,-1281,-1021,-844,-829,-838,-555,-686,-573,-587,-619,-812,-673,-744,-869,-905,-934,-1088,-1063,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417
M,2025,7272,6096,5479,3790,3827,3820,3874,3807,3813,3818,3670,3594,3547,3600,3863,4393,5259,6359,6548,7224,7637,7908,7850,7986,7929,8510,8593,8467,8506,8350,8041,7504,6563,5695,4811,3921,2870,1784,733,-191,-572,-975,-970,-667,-315,-426,-552,-1140,-1861,-2394,-2741,-2664,-2662,-2437,-2143,-1756,-1204,-949,-744,-688,-764,-903,-1208,-1196,-1413,-1617,-1434,-1413,-1195,-948,-815,-883,-859,-658,-737,-642,-673,-791,-1006,-800,-929,-986,-1078,-1077,-1136,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436
M,2026,7324,6146,5522,5085,3789,3844,3907,3870,3866,3858,3740,3627,3639,3630,3905,4566,5389,6510,6848,7361,7950,8223,8224,8433,8458,8592,8853,8801,8669,8654,8492,7815,7057,6175,5308,4415,3020,2046,1036,153,-356,-713,-647,-493,-246,-192,-712,-1154,-1793,-2368,-2658,-2734,-2482,-2304,-2015,-1724,-1394,-976,-789,-665,-755,-911,-1135,-1425,-1413,-1558,-1651,-1388,-1305,-1122,-856,-885,-902,-892,-700,-784,-738,-803,-975,-1154,-983,-1046,-1143,-1219,-1167,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457,-457
M,2027,7376,6195,5568,5125,4837,3816,3931,3900,3929,3893,3785,3717,3683,3723,3965,4630,5601,6677,7041,7666,8108,8507,8566,8779,8880,9077,8899,9002,8966,8835,8713,8208,7280,6583,5672,4794,3469,2148,1284,424,-24,-513,-427,-214,-67,-140,-482,-1334,-1801,-2329,-2636,-2654,-2550,-2184,-1854,-1626,-1358,-1121,-827,-718,-743,-872,-1139,-1399,-1608,-1609,-1627,-1569,-1310,-1212,-1053,-910,-925,-962,-905,-779,-845,-905,-981,-1125,-1350,-1107,-1199,-1268,-1305,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478
M,2028,7429,6242,5609,5162,4874,4650,3910,3924,3958,3993,3855,3739,3729,3755,4017,4705,5683,6927,7209,7900,8366,8683,8780,9076,9181,9422,9321,9082,9098,9047,8894,8351,7577,6785,6020,5118,3734,2546,1351,632,188,-206,-230,-48,167,33,-431,-1096,-2004,-2332,-2611,-2641,-2500,-2224,-1800,-1473,-1266,-1122,-934,-757,-791,-883,-1091,-1398,-1627,-1778,-1689,-1607,-1452,-1268,-1123,-1118,-941,-1001,-952,-965,-899,-998,-1110,-1157,-1337,-1494,-1270,-1328,-1346,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505,-505
M,2029,7481,6288,5652,5201,4908,4682,4563,3911,3986,4008,3858,3801,3770,3784,4060,4756,5779,7018,7484,8058,8616,8860,8938,9243,9435,9682,9623,9438,9229,9164,9037,8543,7746,7035,6235,5439,4095,2812,1708,702,374,-27,33,150,296,260,-264,-1042,-1753,-2519,-2592,-2614,-2453,-2178,-1809,-1434,-1128,-1018,-940,-851,-828,-928,-1107,-1352,-1631,-1808,-1825,-1660,-1487,-1371,-1191,-1153,-1152,-1015,-1033,-1003,-1026,-1065,-1177,-1277,-1382,-1492,-1673,-1406,-1403,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531,-531
M,2030,7534,6335,5693,5239,4940,4715,4590,4427,3970,4067,3891,3812,3802,3859,4109,4817,5848,7136,7586,8324,8776,9139,9086,9358,9565,9912,9818,9669,9504,9287,9095,8620,7880,7195,6424,5610,4344,3133,1940,997,416,123,157,350,469,347,-47,-893,-1718,-2298,-2779,-2604,-2446,-2159,-1760,-1464,-1101,-914,-861,-851,-937,-981,-1180,-1388,-1611,-1836,-1880,-1783,-1569,-1413,-1286,-1216,-1163,-1212,-1068,-1131,-1107,-1166,-1257,-1326,-1493,-1543,-1674,-1832,-1481,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558,-558
M,2031,7583,6381,5736,5275,4979,4749,4621,4452,4362,4117,3903,3835,3818,3862,4151,4851,5889,7200,7701,8454,9004,9296,9347,9505,9657,10009,10015,9842,9713,9561,9229,8663,7938,7277,6540,5761,4510,3307,2194,1170,631,130,264,435,628,482,1,-704,-1590,-2305,-2620,-2811,-2472,-2186,-1804,-1437,-1166,-915,-798,-808,-964,-1118,-1251,-1495,-1652,-1852,-1943,-1871,-1684,-1515,-1345,-1350,-1251,-1246,-1227,-1185,-1246,-1288,-1369,-1433,-1542,-1653,-1734,-1826,-1929,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586,-586
M,2032,7633,6429,5777,5315,5011,4780,4652,4479,4388,4239,3922,3846,3828,3874,4158,4875,5918,7234,7759,8540,9139,9466,9501,9721,9779,10083,10085,9954,9821,9718,9476,8747,7931,7301,6585,5833,4617,3460,2321,1368,770,269,249,511,691,616,112,-676,-1426,-2208,-2651,-2708,-2691,-2237,-1857,-1512,-1169,-996,-826,-787,-943,-1187,-1427,-1603,-1798,-1893,-1990,-1962,-1804,-1650,-1486,-1430,-1422,-1367,-1322,-1324,-1346,-1446,-1510,-1557,-1668,-1717,-1851,-1895,-1921,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642,-642
