SEX,YEAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
M,2023,-146,-2921,-2817,-2686,-2490,-2301,-1957,-1732,-1485,-1255,-1164,-957,-859,-928,-1112,-1401,-1865,-2383,-4065,-4893,-5533,-6095,-6926,-6769,-6726,-6624,-6346,-6400,-6536,-6578,-6721,-6799,-7129,-7340,-7236,-7273,-7764,-8088,-8355,-8706,-8543,-8212,-7453,-6883,-5987,-5575,-5574,-5763,-6138,-6298,-6451,-6375,-6096,-5583,-4749,-4234,-3707,-3469,-3334,-3252,-3422,-3344,-3629,-3919,-3806,-3964,-3784,-3447,-3076,-2994,-2735,-2354,-2253,-2087,-1994,-1857,-1913,-1655,-1623,-1605,-1527,-1388,-1495,-1410,-1328,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492,-492
M,2024,-153,-482,-2433,-2294,-2153,-1992,-1718,-1569,-1330,-1168,-1066,-973,-834,-824,-1028,-1266,-1664,-2255,-3603,-4420,-4770,-5211,-5907,-6288,-6121,-5930,-5945,-5744,-5796,-5969,-5978,-6106,-6420,-6647,-6982,-6868,-7294,-7613,-8021,-8221,-8076,-7940,-7280,-6584,-6140,-5574,-5473,-5749,-6011,-6332,-6272,-6191,-5927,-5540,-4967,-4232,-3758,-3398,-3276,-3220,-3296,-3520,-3527,-3806,-3992,-3840,-3785,-3510,-3138,-2836,-2688,-2544,-2115,-2121,-1920,-1866,-1802,-1879,-1619,-1572,-1577,-1492,-1414,-1480,-1392,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506,-506
M,2025,-160,-491,-430,-1995,-1853,-1738,-1501,-1389,-1224,-1046,-1013,-909,-840,-821,-912,-1180,-1523,-1984,-3429,-3946,-4233,-4504,-5104,-5353,-5697,-5388,-5321,-5353,-5212,-5267,-5401,-5385,-5702,-5959,-6273,-6576,-6848,-7142,-7522,-7847,-7655,-7482,-7035,-6435,-5867,-5707,-5462,-5632,-5969,-6191,-6285,-5974,-5761,-5347,-4904,-4396,-3733,-3420,-3212,-3166,-3241,-3383,-3716,-3705,-3866,-3974,-3666,-3521,-3192,-2819,-2555,-2471,-2305,-1985,-1984,-1825,-1766,-1771,-1871,-1556,-1575,-1523,-1517,-1441,-1445,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521
M,2026,-160,-491,-432,-347,-1602,-1485,-1295,-1194,-1075,-938,-893,-837,-719,-767,-847,-982,-1365,-1789,-3057,-3680,-3714,-3910,-4405,-4573,-4840,-4984,-4753,-4725,-4773,-4706,-4707,-4840,-4981,-5250,-5553,-5865,-6483,-6667,-7013,-7315,-7273,-7080,-6603,-6176,-5732,-5419,-5567,-5579,-5825,-6083,-6120,-5962,-5507,-5141,-4707,-4300,-3864,-3392,-3203,-3094,-3179,-3331,-3573,-3852,-3772,-3811,-3773,-3381,-3184,-2875,-2479,-2358,-2236,-2112,-1844,-1874,-1743,-1701,-1760,-1839,-1566,-1532,-1540,-1552,-1451,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537,-537
M,2027,-161,-492,-434,-349,-276,-1291,-1099,-1037,-915,-831,-799,-710,-644,-648,-761,-888,-1120,-1586,-2810,-3288,-3416,-3424,-3805,-3939,-4123,-4208,-4417,-4248,-4214,-4276,-4249,-4220,-4532,-4620,-4963,-5261,-5812,-6342,-6551,-6841,-6760,-6730,-6263,-5808,-5482,-5306,-5275,-5691,-5753,-5955,-6004,-5794,-5488,-4943,-4475,-4134,-3767,-3481,-3187,-3093,-3112,-3235,-3511,-3750,-3882,-3766,-3647,-3451,-3076,-2850,-2561,-2270,-2148,-2072,-1949,-1774,-1763,-1724,-1693,-1741,-1872,-1541,-1555,-1566,-1563,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552,-552
M,2028,-162,-492,-435,-351,-279,-251,-954,-886,-788,-658,-677,-650,-565,-584,-680,-783,-1009,-1304,-2600,-2997,-3068,-3113,-3409,-3415,-3571,-3609,-3740,-3913,-3831,-3824,-3837,-3849,-4010,-4194,-4388,-4706,-5314,-5715,-6259,-6418,-6354,-6261,-5935,-5540,-5168,-5066,-5159,-5381,-5872,-5864,-5880,-5681,-5349,-4900,-4345,-3913,-3612,-3423,-3239,-3077,-3110,-3189,-3400,-3678,-3819,-3846,-3610,-3386,-3112,-2795,-2522,-2368,-2053,-2007,-1894,-1865,-1730,-1736,-1751,-1705,-1801,-1874,-1581,-1591,-1577,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573,-573
M,2029,-162,-493,-436,-352,-280,-252,-146,-775,-665,-569,-615,-542,-487,-521,-606,-698,-878,-1173,-2288,-2794,-2753,-2846,-3130,-3087,-3117,-3131,-3214,-3330,-3472,-3479,-3469,-3438,-3623,-3726,-3953,-4154,-4717,-5207,-5668,-6128,-5966,-5904,-5532,-5233,-4953,-4762,-4917,-5245,-5532,-5950,-5756,-5547,-5201,-4762,-4274,-3801,-3409,-3257,-3189,-3117,-3091,-3177,-3355,-3562,-3750,-3792,-3655,-3342,-3043,-2791,-2481,-2294,-2160,-1917,-1876,-1808,-1768,-1723,-1746,-1762,-1788,-1821,-1942,-1632,-1607,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593,-593
M,2030,-163,-494,-437,-354,-284,-255,-147,-141,-587,-436,-527,-486,-417,-410,-520,-604,-770,-1014,-2144,-2482,-2547,-2508,-2898,-2866,-2848,-2727,-2828,-2904,-2991,-3149,-3201,-3148,-3276,-3353,-3545,-3755,-4231,-4644,-5192,-5603,-5711,-5571,-5255,-4914,-4687,-4595,-4618,-5008,-5401,-5624,-5834,-5428,-5088,-4642,-4138,-3752,-3311,-3090,-3048,-3059,-3143,-3171,-3367,-3533,-3659,-3741,-3625,-3373,-3029,-2734,-2473,-2253,-2065,-2013,-1813,-1842,-1764,-1744,-1754,-1747,-1842,-1824,-1897,-2022,-1656,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613
M,2031,-162,-494,-438,-355,-284,-256,-151,-146,-109,-316,-456,-415,-358,-368,-444,-529,-686,-904,-1976,-2305,-2267,-2303,-2587,-2653,-2665,-2512,-2480,-2559,-2606,-2690,-2872,-2903,-3010,-3058,-3212,-3381,-3834,-4224,-4688,-5190,-5279,-5373,-4989,-4699,-4427,-4369,-4481,-4722,-5167,-5518,-5562,-5520,-5000,-4564,-4084,-3640,-3299,-3021,-2922,-2956,-3113,-3247,-3375,-3572,-3629,-3684,-3607,-3374,-3055,-2741,-2433,-2286,-2052,-1947,-1873,-1805,-1816,-1785,-1794,-1790,-1836,-1885,-1916,-1983,-2077,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634,-634
M,2032,-163,-494,-440,-357,-287,-259,-152,-147,-109,-131,-382,-355,-305,-316,-394,-464,-609,-818,-1862,-2160,-2082,-2084,-2392,-2392,-2488,-2360,-2308,-2314,-2349,-2368,-2451,-2634,-2821,-2829,-2956,-3092,-3496,-3831,-4310,-4747,-4911,-5033,-4839,-4489,-4251,-4138,-4276,-4595,-4886,-5299,-5468,-5295,-5101,-4504,-4034,-3620,-3219,-3028,-2881,-2873,-3029,-3255,-3486,-3609,-3699,-3648,-3575,-3385,-3088,-2788,-2482,-2269,-2127,-1969,-1873,-1854,-1832,-1864,-1862,-1851,-1904,-1900,-1994,-2018,-2040,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682,-682
M,2033,-163,-495,-441,-359,-288,-261,-157,-151,-113,-133,-105,-310,-259,-270,-343,-404,-537,-732,-1768,-2043,-1947,-1913,-2212,-2213,-2254,-2208,-2172,-2168,-2179,-2199,-2211,-2274,-2620,-2722,-2778,-2877,-3246,-3529,-3942,-4395,-4519,-4709,-4563,-4371,-4077,-3988,-4060,-4400,-4775,-5031,-5275,-5225,-4930,-4623,-4001,-3597,-3223,-2975,-2904,-2850,-2964,-3180,-3518,-3747,-3767,-3750,-3551,-3368,-3114,-2844,-2548,-2344,-2135,-2068,-1920,-1904,-1898,-1914,-1973,-1943,-1981,-1984,-2019,-2106,-2084,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724,-724
M,2034,-164,-495,-441,-360,-290,-263,-160,-152,-117,-135,-105,-93,-224,-234,-298,-346,-466,-648,-1668,-1939,-1825,-1780,-2048,-2047,-2092,-1996,-2033,-2042,-2043,-2039,-2050,-2046,-2274,-2524,-2671,-2697,-3025,-3270,-3631,-4025,-4178,-4336,-4269,-4123,-3969,-3825,-3916,-4181,-4574,-4916,-5009,-5040,-4866,-4466,-4105,-3565,-3199,-2977,-2854,-2872,-2941,-3111,-3435,-3782,-3913,-3820,-3651,-3345,-3099,-2867,-2600,-2406,-2207,-2077,-2021,-1955,-1949,-1983,-2028,-2061,-2078,-2065,-2108,-2129,-2173,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764,-764
M,2035,-163,-497,-443,-362,-291,-266,-161,-156,-120,-140,-111,-95,-45,-205,-263,-298,-397,-559,-1567,-1827,-1714,-1665,-1920,-1897,-1943,-1852,-1842,-1917,-1931,-1914,-1902,-1897,-2052,-2185,-2475,-2590,-2839,-3045,-3363,-3710,-3818,-4015,-3930,-3859,-3748,-3724,-3758,-4033,-4348,-4711,-4895,-4786,-4693,-4407,-3966,-3659,-3168,-2957,-2856,-2823,-2964,-3084,-3360,-3692,-3950,-3967,-3722,-3440,-3077,-2850,-2619,-2453,-2265,-2147,-2030,-2059,-2004,-2038,-2101,-2119,-2201,-2165,-2191,-2224,-2195,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806,-806
M,2036,-164,-497,-444,-365,-295,-267,-163,-158,-123,-143,-113,-98,-48,-45,-234,-255,-341,-477,-1463,-1714,-1597,-1555,-1808,-1782,-1806,-1721,-1713,-1741,-1812,-1806,-1781,-1754,-1907,-1972,-2140,-2394,-2728,-2851,-3128,-3442,-3512,-3676,-3638,-3556,-3505,-3516,-3659,-3874,-4194,-4479,-4691,-4677,-4457,-4252,-3915,-3533,-3254,-2928,-2835,-2825,-2914,-3109,-3331,-3609,-3855,-4007,-3867,-3508,-3164,-2829,-2605,-2471,-2312,-2205,-2102,-2068,-2112,-2096,-2161,-2197,-2262,-2295,-2296,-2310,-2293,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843,-843
M,2037,-166,-497,-445,-365,-294,-269,-168,-160,-124,-144,-116,-102,-52,-50,-76,-222,-290,-409,-1366,-1599,-1478,-1440,-1706,-1680,-1702,-1596,-1590,-1621,-1650,-1696,-1684,-1639,-1767,-1832,-1927,-2057,-2526,-2735,-2929,-3204,-3251,-3385,-3327,-3292,-3232,-3290,-3454,-3774,-4033,-4323,-4461,-4480,-4357,-4043,-3778,-3487,-3140,-3006,-2805,-2806,-2915,-3055,-3356,-3576,-3765,-3909,-3906,-3644,-3228,-2910,-2585,-2456,-2329,-2251,-2159,-2143,-2123,-2213,-2223,-2260,-2343,-2359,-2430,-2419,-2382,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882,-882
M,2038,-166,-498,-446,-368,-297,-271,-172,-164,-127,-146,-118,-106,-54,-53,-79,-47,-254,-350,-1287,-1490,-1358,-1324,-1597,-1588,-1611,-1506,-1482,-1510,-1537,-1541,-1581,-1545,-1658,-1696,-1788,-1845,-2175,-2528,-2811,-3002,-3019,-3140,-3062,-3014,-2993,-3034,-3229,-3564,-3925,-4158,-4305,-4260,-4176,-3951,-3590,-3363,-3096,-2901,-2881,-2774,-2895,-3059,-3298,-3602,-3730,-3817,-3809,-3682,-3356,-2970,-2661,-2438,-2316,-2270,-2206,-2200,-2200,-2224,-2346,-2325,-2411,-2444,-2495,-2557,-2493,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922,-922
